Platform,Post_Type,Post_Content,Post_Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement_Rate,Audience_Age,Audience_Gender,Audience_Location,Sentiment,Post_Day,Content_Length
Instagram,Link,Effort quite democratic.,2024-03-08 11:10:05,911,489,126,9333,2564,59.52,59,Other,Equatorial Guinea,Positive,Friday,24
Facebook,Video,Account keep conference outside course painting own money.,2024-03-08 10:44:34,124,364,168,6272,2536,25.87,56,Female,Zimbabwe,Negative,Friday,58
Facebook,Link,Structure which those black war choose.,2024-03-08 10:38:42,704,398,8,8231,2900,38.28,38,Male,Gambia,Negative,Friday,39
LinkedIn,Video,Safe plant local industry last could new.,2024-03-08 09:42:57,887,125,164,6669,1253,93.85,55,Female,Portugal,Neutral,Friday,41
Twitter,Image,Pick series receive rule degree it help fear.,2024-03-08 09:31:44,469,324,6,4481,3874,20.62,61,Female,Indonesia,Negative,Friday,45
Instagram,Link,Expert rest TV protect seem range student.,2024-03-08 08:59:50,287,4,144,3756,3875,11.23,46,Male,Switzerland,Positive,Friday,42
Instagram,Link,Happy contain smile name whom current.,2024-03-08 08:59:38,262,193,114,1364,4633,12.28,30,Male,Cape Verde,Negative,Friday,38
LinkedIn,Link,Media new various word.,2024-03-08 08:38:36,909,194,39,9480,2062,55.38,19,Female,Timor-Leste,Neutral,Friday,23
Instagram,Video,Throughout fear movement baby thing training.,2024-03-08 07:52:05,257,324,148,2221,1380,52.83,57,Other,Turks and Caicos Islands,Negative,Friday,45
Instagram,Image,Concern movement want certainly.,2024-03-08 07:49:11,963,220,159,4423,1451,92.49,53,Male,Marshall Islands,Neutral,Friday,32
Twitter,Link,Dark young much yard shoulder analysis including.,2024-03-08 07:21:57,562,246,45,5574,2588,32.96,32,Other,Saint Barthelemy,Negative,Friday,49
LinkedIn,Link,Drive employee economic these agency speech five.,2024-03-08 07:07:28,151,217,48,3448,3881,10.72,45,Other,Sri Lanka,Neutral,Friday,49
Facebook,Video,Business son fall attack of old town.,2024-03-08 06:57:11,498,256,191,1248,1496,63.17,45,Other,Chile,Neutral,Friday,37
LinkedIn,Video,During safe economy personal author.,2024-03-08 06:45:28,632,7,55,4423,4124,16.83,50,Other,France,Negative,Friday,36
Facebook,Link,Alone pass guess other moment gun identify scene.,2024-03-08 06:12:56,429,422,54,1499,1076,84.11,25,Other,Angola,Positive,Friday,49
